model,dataset,budget,feature,nResolved,meanResolved,medianResolved,stdResolved,q25Resolved,q75Resolved,nEscalated,meanEscalated,medianEscalated,stdEscalated,q25Escalated,q75Escalated,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
qwen2.5_7b,hatemoderate,124,totalPulls,297,98.72727272727273,72.0,69.88999341365815,72.0,76.0,103,294.02912621359224,320.0,91.93480813744176,245.0,372.0,2918.5,2.7100156450288276e-40,0.8091922460854499
qwen2.5_7b,hatemoderate,124,eliminationRound,297,26.07070707070707,24.0,4.739681235545088,24.0,24.0,97,38.22680412371134,42.0,7.055590505997082,33.0,42.0,2946.0,2.473207208939436e-40,0.7954805789857337
qwen2.5_7b,hatemoderate,124,finalVoteMargin,219,0.987520750077329,1.0,0.031695069824952266,1.0,1.0,75,0.2739457885106257,0.14634146341463414,0.26718909920725115,0.038461538461538464,0.4825783972125436,16424.0,2.7044423714098007e-49,-0.9998782343987824
qwen2.5_7b,hatemoderate,124,finalEntropy,219,0.02059632622914022,0.0,0.057730135177028075,-0.0,-0.0,63,0.48911215027941163,0.4757470413000045,0.21985546651536914,0.3561279935067172,0.5304066372490516,85.0,4.385650741076254e-44,0.9876784808291658
qwen2.5_7b,hatemoderate,124,numberOfEliminations,297,1.1919191919191918,1.0,0.3944745310031506,1.0,1.0,97,0.6185567010309279,0.0,0.7963889722924365,0.0,1.0,21067.5,2.3757951385153433e-16,-0.46256378215141103
qwen2.5_7b,hatemoderate,124,numberOfSurvivingCandidates,297,1.0,1.0,0.0,1.0,1.0,97,2.2577319587628866,3.0,0.9160416488378126,1.0,3.0,4603.5,2.309809857804221e-54,0.6804123711340206
qwen2.5_7b,aegis,75,finalConfidence,186,1.0,1.0,0.0,1.0,1.0,0,,,,,,,,
qwen2.5_7b,aegis,75,totalPulls,251,93.13147410358566,72.0,49.2886462120672,72.0,72.0,149,194.85906040268458,222.0,72.54719061878798,216.0,225.0,6113.5,3.142346854100319e-34,0.6730661247626941
qwen2.5_7b,aegis,75,eliminationRound,251,24.0,24.0,0.0,24.0,24.0,131,24.65648854961832,25.0,0.6047376082797234,24.0,25.0,6777.0,9.154846689289362e-42,0.5877862595419847
qwen2.5_7b,aegis,75,finalVoteMargin,186,1.0,1.0,0.0,1.0,1.0,100,0.17504615384615385,0.0,0.2838001790508788,0.0,0.28,18600.0,9.813279120945555e-61,-1.0
qwen2.5_7b,aegis,75,finalEntropy,186,0.0,0.0,0.0,0.0,-0.0,49,0.3371159269091044,0.3670672426864282,0.1620935974960755,0.185754247590989,0.5082689707457129,0.0,6.724841168473346e-52,1.0
qwen2.5_7b,aegis,75,numberOfEliminations,251,1.0,1.0,0.0,1.0,1.0,131,0.48091603053435117,0.0,0.501553663639571,0.0,1.0,24974.5,2.984302826831037e-36,-0.5190839694656488
qwen2.5_7b,aegis,75,numberOfSurvivingCandidates,251,1.0,1.0,0.0,1.0,1.0,131,2.1068702290076335,3.0,0.9627836916338482,1.0,3.0,6777.0,9.154846689289362e-42,0.5877862595419847
qwen2.5_7b,aegis,100,finalConfidence,194,0.9967222351257305,1.0,0.013810472451355747,1.0,1.0,0,,,,,,,,
qwen2.5_7b,aegis,100,totalPulls,266,93.57894736842105,72.0,55.08534860183694,72.0,72.0,134,221.3955223880597,243.5,86.5307124108346,216.0,272.0,5770.5,2.8574932189754367e-33,0.6762147907081135
qwen2.5_7b,aegis,100,eliminationRound,266,24.669172932330827,24.0,2.18820786329828,24.0,24.0,118,27.983050847457626,26.0,4.557295364591535,24.0,34.0,8913.5,4.40858602604374e-19,0.4320440932840576
qwen2.5_7b,aegis,100,finalVoteMargin,194,0.9963462335943788,1.0,0.014637516920927574,1.0,1.0,93,0.11914203613709494,0.0,0.22235258850623513,0.0,0.07980295566502463,18042.0,6.592074832734663e-57,-1.0
qwen2.5_7b,aegis,100,finalEntropy,194,0.006376084064579322,0.0,0.027365412564052238,0.0,-0.0,43,0.33217399030362255,0.2709943767167089,0.1330440025022892,0.20112416740678124,0.44716938520678134,19.0,9.348732139658529e-43,0.9954447374730281
qwen2.5_7b,aegis,100,numberOfEliminations,266,1.0977443609022557,1.0,0.2975284772578943,1.0,1.0,118,0.940677966101695,1.0,0.6444022325288264,1.0,1.0,17795.0,0.002432985717953643,-0.13387281763731362
qwen2.5_7b,aegis,100,numberOfSurvivingCandidates,266,1.0,1.0,0.0,1.0,1.0,118,1.5084745762711864,1.0,0.854808047747217,1.0,2.0,11438.0,8.393787711317515e-19,0.27118644067796616
qwen2.5_7b,aegis,124,finalConfidence,200,0.9925108919889567,1.0,0.02227548792562,1.0,1.0,0,,,,,,,,
qwen2.5_7b,aegis,124,totalPulls,275,99.05818181818182,72.0,65.59923304615835,72.0,72.0,125,236.632,241.0,104.76452366786592,216.0,297.0,6130.0,8.702946467386532e-29,0.6433454545454546
qwen2.5_7b,aegis,124,eliminationRound,275,25.49818181818182,24.0,4.1021398594728,24.0,24.0,109,30.31192660550459,24.0,8.074533867645151,24.0,37.0,9699.5,3.295521269821177e-12,0.3528273561301084
